| dtime      | temp      | humidity      |
| 20140130185919 | 150       | 41            |
| 20140130185949 | 150       | 41            |
| 20140130190004 | 150       | 41            |
| 20140130190049 | 150       | 41            |
| 20140130190135 | 150       | 41            |
| 20140130190220 | 150       | 41            |
| 20140130190305 | 150       | 41            |
| 20140130190351 | 140       | 42            |
| 20140130190436 | 140       | 42            |
| 20140130190451 | 140       | 42            |
| 20140130190521 | 140       | 42            |
| 20140130190536 | 140       | 42            |
| 20140130190607 | 140       | 42            |
| 20140130190652 | 140       | 42            |
| 20140130190737 | 140       | 42            |
| 20140130190752 | 140       | 42            |
| 20140130190823 | 140       | 42            |
| 20140130190838 | 140       | 42            |
| 20140130190908 | 140       | 42            |
| 20140130190923 | 140       | 42            |
| 20140130191023 | 140       | 42            |
| 20140130191109 | 140       | 42            |
| 20140130191154 | 140       | 42            |
| 20140130191239 | 140       | 42            |
| 20140130191254 | 140       | 42            |
| 20140130191325 | 140       | 42            |
| 20140130191410 | 140       | 42            |
| 20140130191726 | 140       | 42            |
| 20140130191812 | 140       | 42            |
| 20140130191857 | 140       | 42            |
| 20140130191927 | 140       | 42            |
| 20140130191942 | 140       | 42            |
| 20140130192013 | 140       | 42            |
| 20140130192058 | 140       | 42            |
| 20140130192143 | 140       | 42            |
| 20140130192159 | 140       | 42            |
| 20140130192229 | 140       | 42            |
| 20140130192244 | 140       | 42            |
| 20140130192314 | 140       | 42            |
| 20140130192329 | 140       | 42            |
| 20140130192359 | 140       | 42            |
| 20140130192430 | 140       | 42            |
| 20140130192500 | 140       | 42            |
| 20140130192515 | 140       | 42            |
| 20140130192545 | 140       | 42            |
| 20140130192631 | 140       | 42            |
| 20140130192716 | 140       | 42            |
| 20140130192731 | 140       | 42            |
| 20140130192801 | 140       | 42            |
| 20140130192816 | 140       | 42            |
| 20140130192902 | 140       | 42            |
| 20140130192947 | 140       | 42            |
| 20140130193032 | 150       | 41            |
| 20140130193118 | 150       | 41            |
| 20140130193203 | 150       | 41            |
| 20140130193248 | 150       | 41            |
| 20140130193304 | 150       | 41            |
| 20140130193349 | 150       | 41            |
| 20140130193434 | 150       | 41            |
| 20140130193520 | 150       | 41            |
| 20140130193605 | 150       | 41            |
| 20140130193650 | 150       | 41            |
| 20140130193736 | 150       | 41            |
| 20140130193806 | 150       | 41            |
| 20140130193836 | 150       | 41            |
| 20140130193906 | 150       | 41            |
| 20140130193921 | 150       | 41            |
| 20140130193952 | 150       | 41            |
| 20140130194007 | 150       | 41            |
| 20140130194037 | 150       | 41            |
| 20140130194122 | 150       | 41            |
| 20140130194137 | 150       | 41            |
| 20140130194208 | 150       | 41            |
| 20140130194223 | 150       | 41            |
| 20140130194253 | 150       | 41            |
| 20140130194308 | 150       | 41            |
| 20140130194338 | 150       | 41            |
| 20140130194424 | 150       | 41            |
| 20140130194509 | 150       | 41            |
| 20140130194524 | 150       | 41            |
| 20140130194539 | 150       | 41            |
| 20140130194624 | 150       | 41            |
| 20140130194810 | 150       | 41            |
| 20140130194825 | 150       | 41            |
| 20140130194840 | 150       | 41            |
| 20140130195227 | 150       | 41            |
| 20140130195242 | 140       | 42            |
| 20140130195313 | 140       | 42            |
| 20140130195328 | 140       | 42            |
| 20140130195358 | 140       | 42            |
| 20140130195413 | 140       | 42            |
| 20140130195443 | 140       | 42            |
| 20140130195529 | 140       | 42            |
| 20140130195614 | 140       | 42            |
| 20140130195629 | 140       | 42            |
| 20140130195659 | 140       | 42            |
| 20140130195714 | 140       | 42            |
| 20140130195745 | 140       | 42            |
| 20140130195830 | 140       | 42            |
| 20140130195915 | 140       | 42            |
| 20140130195930 | 150       | 41            |
| 20140130195946 | 150       | 41            |
| 20140130200016 | 150       | 41            |
| 20140130200101 | 150       | 41            |
| 20140130200202 | 150       | 41            |
| 20140130200247 | 150       | 41            |
| 20140130200332 | 150       | 41            |
| 20140130200418 | 150       | 41            |
| 20140130200503 | 150       | 41            |
| 20140130200548 | 150       | 41            |
| 20140130200649 | 150       | 41            |
| 20140130200734 | 150       | 41            |
| 20140130200819 | 150       | 41            |
| 20140130200905 | 150       | 41            |
| 20140130200950 | 150       | 41            |
| 20140130201020 | 150       | 41            |
| 20140130201035 | 150       | 41            |
| 20140130201106 | 150       | 41            |
| 20140130201121 | 150       | 41            |
| 20140130201151 | 150       | 41            |
| 20140130201236 | 150       | 41            |
| 20140130201322 | 150       | 41            |
| 20140130201337 | 150       | 41            |
| 20140130201352 | 150       | 41            |
| 20140130201422 | 140       | 42            |
| 20140130201507 | 140       | 42            |
| 20140130201553 | 140       | 42            |
| 20140130201608 | 140       | 42            |
